Species,Pesticide,Population,Sex,Mass_start,Mass_end,Growth_rate,Mass_adult,F0_duration,Adult_lifespan,log_Adult_lifespan,Pre_NP_Projection,SQRT_Pre_NP_Projection,Pre_Latencytime,Post_NP_Projection,SQRT_Post_NP_Projection,Post_Latencytime,Avg_Projection,Avg_Latency
I. elegans,absent,OHZ,Female,34.85,35.69,0.0026,25.54,23,1,0,18,4.24,25,44,6.63,24,31,24.5
I. elegans,absent,WR,Female,34.57,37.17,0.0081,27.35,27,34,1.531478917,36,6,27,8,2.83,107,22,67
I. elegans,absent,ME,Female,43.29,46.21,0.0073,31.19,25,5,0.698970004,67,8.19,28,2,1.41,44,34.5,36
I. elegans,absent,OHZ,Male,40.12,43.01,0.0077,27.31,25,4,0.602059991,28,5.29,300,0,0,300,14,300
I. elegans,absent,OHZ,Male,30.19,31.4,0.0044,19.96,30,2,0.301029996,0,0,70,9,3,37,4.5,53.5
I. elegans,absent,OHZ,Female,35.91,35.93,0.0001,27.56,31,4,0.602059991,28,5.29,255,5,2.24,14,16.5,134.5
I. elegans,absent,ME,Male,28.74,31.35,0.0097,24.22,29,4,0.602059991,21,4.58,300,3,1.73,47,12,173.5
I. elegans,absent,ME,Female,33.3,34.25,0.0031,23.46,26,28,1.447158031,13,3.61,15,28,5.29,14,20.5,14.5
I. elegans,absent,ME,Female,29.46,30.77,0.0048,22.83,30,6,0.77815125,13,3.61,46,11,3.32,9,12,27.5
I. elegans,absent,OHZ,Male,27.81,30.21,0.0092,22.09,30,5,0.698970004,18,4.24,50,25,5,52,21.5,51
I. elegans,absent,OHZ,Female,38.27,39.8,0.0044,28.43,30,6,0.77815125,0,0,82,8,2.83,300,4,191
I. elegans,absent,OHZ,Female,33.84,34.6,0.0025,24.97,30,4,0.602059991,20,4.47,9,20,4.47,83,20,46
I. elegans,absent,OHZ,Female,32.25,33.43,0.004,21.93,32,5,0.698970004,4,2,166,8,2.83,43,6,104.5
I. elegans,absent,ME,Female,32.13,32.08,-0.0002,24.24,31,24,1.380211242,17,4.12,43,1,1,80,9,61.5
I. elegans,absent,WR,Male,33.31,33.85,0.0018,25.01,28,5,0.698970004,19,4.36,50,26,5.1,19,22.5,34.5
