ID,Year,Age,type_of_data,Survival,NB_captures,Date_June1,Docility
19u,94,5,Boldness,,2,,
19u,95,6,Boldness,,4,,
19w,94,3,Boldness,,3,,
19w,95,4,Boldness,,5,,
19w,96,5,Boldness,,6,,
19w,97,6,Boldness,,5,,
19w,97,6,Survival,1,,,
19w,98,7,Boldness,,4,,
19w,98,7,docility,,,33,2
19w,98,7,docility,,,84,5
19w,98,7,docility,,,114,5
19w,98,7,Survival,1,,,
19w,99,8,docility,,,31,3
19w,99,8,docility,,,57,3
19w,99,8,docility,,,95,4
19w,99,8,docility,,,113,2
1qr,94,9,Boldness,,3,,
1qr,95,10,Boldness,,6,,
1qr,96,11,Boldness,,5,,
1qr,97,12,Boldness,,2,,
1qr,97,12,Survival,0,,,
1rs,94,8,Boldness,,4,,
1rs,95,9,Boldness,,5,,
1t,94,6,Boldness,,4,,
1t,95,7,Boldness,,4,,
1t,96,8,Boldness,,4,,
1v,94,4,Boldness,,3,,
1v,95,5,Boldness,,0,,
20m,94,12,Boldness,,4,,
20m,95,13,Boldness,,0,,
20r,94,8,Boldness,,3,,
20r,95,9,Boldness,,5,,
20r,96,10,Boldness,,6,,
20r,97,11,Boldness,,3,,
20r,97,11,Survival,1,,,
20r,98,12,Boldness,,5,,
20r,98,12,docility,,,21,1
20r,98,12,docility,,,42,1
20r,98,12,docility,,,71,2
20r,98,12,docility,,,116,1
20r,98,12,docility,,,126,1
20r,98,12,Survival,0,,,
20u,94,5,Boldness,,3,,
20u,95,6,Boldness,,4,,
20u,96,6,Boldness,,4,,
20v,94,4,Boldness,,2,,
20v,95,5,Boldness,,2,,
20v,96,6,Boldness,,3,,
20v,97,7,Boldness,,3,,
20v,97,7,Survival,1,,,
20v,98,8,Boldness,,2,,
20v,98,8,docility,,,43,0
20v,98,8,Survival,0,,,
21i,94,16,Boldness,,2,,
21i,95,17,Boldness,,5,,
21i,96,18,Boldness,,5,,
21i,97,19,Boldness,,2,,
21i,97,19,Survival,0,,,
21w,94,4,Boldness,,2,,
21w,95,5,Boldness,,4,,
21w,96,6,Boldness,,5,,
21w,97,7,Boldness,,5,,
21w,97,7,Survival,1,,,
21w,98,8,Boldness,,5,,
21w,98,8,docility,,,32,1
21w,98,8,docility,,,72,2
21w,98,8,docility,,,114,1
21w,98,8,docility,,,125,1
21w,98,8,Survival,1,,,
21w,99,9,docility,,,27,2
21w,99,9,docility,,,44,2
21w,99,9,docility,,,127,1
21x,94,4,Boldness,,2,,
21x,95,5,Boldness,,3,,
21x,96,6,Boldness,,3,,
21x,97,7,Boldness,,2,,
21x,97,7,Survival,1,,,
21x,98,8,Boldness,,3,,
21x,98,8,docility,,,46,3
21x,98,8,docility,,,123,2
21x,98,8,Survival,1,,,
21x,99,9,docility,,,13,0
21x,99,9,docility,,,60,1
21x,99,9,docility,,,127,0
22j,94,15,Boldness,,0,,
22j,95,16,Boldness,,0,,
23t,94,6,Boldness,,3,,
23t,95,7,Boldness,,5,,
23t,96,8,Boldness,,6,,
23u,94,5,Boldness,,3,,
23u,95,6,Boldness,,5,,
23u,96,7,Boldness,,4,,
23u,97,8,Boldness,,3,,
23u,97,8,Survival,T,,,
25r,94,8,Boldness,,3,,
25r,95,9,Boldness,,0,,
25s,94,7,Boldness,,2,,
25s,95,8,Boldness,,3,,
25s,96,9,Boldness,,4,,
25s,97,10,Boldness,,3,,
25s,97,10,Survival,1,,,
25s,98,11,Boldness,,3,,
25s,98,11,docility,,,3,7
25s,98,11,docility,,,33,7
25s,98,11,docility,,,88,5
25s,98,11,Survival,1,,,
25s,99,12,docility,,,39,4
25s,99,12,docility,,,78,4
25s,99,12,docility,,,113,5
25v,94,4,Boldness,,2,,
25v,95,5,Boldness,,5,,
26r,94,8,Boldness,,4,,
26r,95,9,Boldness,,4,,
26r,96,10,Boldness,,4,,
26r,97,11,Boldness,,6,,
26r,97,11,Survival,1,,,
26r,98,12,Boldness,,6,,
26r,98,12,docility,,,32,4
26r,98,12,docility,,,53,3
26r,98,12,docility,,,72,3
26r,98,12,docility,,,114,3
26r,98,12,docility,,,129,2
26r,98,12,Survival,1,,,
26r,99,13,docility,,,21,1
26r,99,13,docility,,,44,2
26r,99,13,docility,,,113,3
26s,94,7,Boldness,,2,,
26s,95,8,Boldness,,5,,
26s,96,9,Boldness,,4,,
26s,97,10,Boldness,,3,,
26s,97,10,Survival,1,,,
26s,98,11,Boldness,,3,,
26s,98,11,docility,,,38,2
26s,98,11,docility,,,88,2
26s,98,11,Survival,0,,,
26t,94,6,Boldness,,3,,
26t,95,7,Boldness,,4,,
26t,96,8,Boldness,,5,,
26t,97,9,Boldness,,4,,
26t,97,9,Survival,1,,,
26t,98,10,Boldness,,5,,
26t,98,10,docility,,,32,2
26t,98,10,docility,,,53,0
26t,98,10,docility,,,84,1
26t,98,10,docility,,,129,1
26t,98,10,Survival,1,,,
26t,99,11,docility,,,14,0
26t,99,11,docility,,,36,0
26t,99,11,docility,,,60,1
26t,99,11,docility,,,78,0
26t,99,11,docility,,,127,0
27s,94,7,Boldness,,3,,
27s,95,8,Boldness,,3,,
27s,96,9,Boldness,,5,,
27s,97,10,Boldness,,4,,
27s,97,10,Survival,0,,,
27u,94,5,Boldness,,3,,
27u,95,6,Boldness,,4,,
27u,96,7,Boldness,,5,,
27u,97,8,Boldness,,3,,
27u,97,8,Survival,0,,,
28t,94,6,Boldness,,4,,
28t,95,7,Boldness,,4,,
28t,96,8,Boldness,,4,,
28t,97,9,Boldness,,4,,
28t,97,9,Survival,1,,,
28t,98,10,Boldness,,5,,
28t,98,10,docility,,,33,0
28t,98,10,docility,,,72,0
28t,98,10,docility,,,114,0
28t,98,10,docility,,,129,0
28t,98,10,Survival,1,,,
28t,99,11,docility,,,13,0
28t,99,11,docility,,,35,0
28t,99,11,docility,,,113,0
28u,94,5,Boldness,,3,,
28u,95,6,Boldness,,3,,
28u,96,7,Boldness,,5,,
28u,97,8,Boldness,,5,,
28u,97,8,Survival,1,,,
28u,98,9,Boldness,,5,,
28u,98,9,docility,,,33,0
28u,98,9,docility,,,79,0
28u,98,9,docility,,,114,0
28u,98,9,docility,,,125,0
28u,98,9,Survival,1,,,
28u,99,10,docility,,,21,0
28u,99,10,docility,,,50,1
28w,94,3,Boldness,,3,,
28w,95,4,Boldness,,5,,
28w,96,5,Boldness,,4,,
28w,97,6,Boldness,,4,,
28w,97,6,Survival,1,,,
28w,98,7,Boldness,,5,,
28w,98,7,docility,,,19,1
28w,98,7,docility,,,38,0
28w,98,7,docility,,,88,0
28w,98,7,docility,,,129,0
28w,98,7,Survival,1,,,
28w,99,8,docility,,,8,0
28w,99,8,docility,,,36,0
28w,99,8,docility,,,56,0
28w,99,8,docility,,,78,1
28w,99,8,docility,,,102,0
28w,99,8,docility,,,113,0
29s,94,7,Boldness,,2,,
29s,95,8,Boldness,,3,,
29s,96,9,Boldness,,3,,
29s,97,10,Boldness,,3,,
29s,97,10,Survival,1,,,
29s,98,11,Boldness,,2,,
29s,98,11,docility,,,17,0
29s,98,11,docility,,,38,0
29s,98,11,Survival,1,,,
29s,99,12,docility,,,27,0
29s,99,12,docility,,,60,0
29s,99,12,docility,,,95,0
29u,94,5,Boldness,,4,,
29u,95,6,Boldness,,4,,
29u,96,7,Boldness,,4,,
29u,97,8,Boldness,,2,,
29u,97,8,Survival,T,,,
29v,94,4,Boldness,,0,,
29v,95,5,Boldness,,4,,
29v,96,6,Boldness,,5,,
29v,97,7,Boldness,,1,,
29v,97,7,Survival,1,,,
29v,98,8,Boldness,,3,,
29v,98,8,docility,,,33,7
29v,98,8,docility,,,114,2
29v,98,8,docility,,,125,2
29v,98,8,Survival,1,,,
29v,99,9,docility,,,18,2
29v,99,9,docility,,,98,3
2q,94,10,Boldness,,3,,
2q,95,11,Boldness,,4,,
2q,96,12,Boldness,,5,,
2q,97,13,Boldness,,2,,
2q,97,13,Survival,1,,,
2q,98,14,docility,,,33,0
2q,98,14,Survival,0,,,
2s,94,8,Boldness,,1,,
2s,95,9,Boldness,,4,,
2s,96,10,Boldness,,6,,
2s,97,11,Boldness,,2,,
2s,97,11,Survival,0,,,
2u,94,5,Boldness,,6,,
2u,95,6,Boldness,,0,,
2wx,94,3,Boldness,,2,,
2wx,95,4,Boldness,,2,,
2wx,96,5,Boldness,,4,,
2wx,97,6,Boldness,,0,,
2wx,97,6,Survival,0,,,
30v,94,4,Boldness,,3,,
30v,95,5,Boldness,,2,,
30v,96,6,Boldness,,5,,
31t,94,6,Boldness,,3,,
31t,95,7,Boldness,,3,,
31t,96,8,Boldness,,6,,
31t,97,9,Boldness,,4,,
31t,97,9,Survival,1,,,
31t,98,10,Boldness,,5,,
31t,98,10,docility,,,33,0
31t,98,10,docility,,,38,2
31t,98,10,docility,,,72,0
31t,98,10,docility,,,114,1
31t,98,10,Survival,1,,,
31t,99,11,docility,,,14,1
31t,99,11,docility,,,30,0
31t,99,11,docility,,,39,1
31t,99,11,docility,,,83,0
31t,99,11,docility,,,113,3
31u,94,5,Boldness,,3,,
31u,95,6,Boldness,,4,,
32w,94,3,Boldness,,4,,
32w,95,4,Boldness,,5,,
32w,96,5,Boldness,,5,,
32w,97,6,Boldness,,2,,
32w,97,6,Survival,1,,,
32w,98,7,Boldness,,6,,
32w,98,7,docility,,,21,1
32w,98,7,docility,,,53,2
32w,98,7,docility,,,93,4
32w,98,7,docility,,,126,4
32w,98,7,Survival,1,,,
32w,99,8,docility,,,31,5
32w,99,8,docility,,,56,3
32w,99,8,docility,,,78,3
32w,99,8,docility,,,127,3
32y,94,1,Boldness,,3,,
32y,95,2,Boldness,,0,,
34u,94,5,Boldness,,5,,
34u,95,6,Boldness,,6,,
34u,96,7,Boldness,,6,,
34u,97,8,Boldness,,3,,
34u,97,8,Survival,T,,,
34y,94,1,Boldness,,4,,
34y,95,2,Boldness,,6,,
34y,96,3,Boldness,,5,,
34y,97,4,Boldness,,4,,
34y,97,4,Survival,1,,,
34y,98,5,Boldness,,4,,
34y,98,5,docility,,,38,4
34y,98,5,docility,,,71,2
34y,98,5,docility,,,125,7
34y,98,5,Survival,1,,,
34y,99,6,docility,,,22,4
34y,99,6,docility,,,44,4
34y,99,6,docility,,,102,4
36y,94,1,Boldness,,5,,
36y,95,2,Boldness,,2,,
37t,94,6,Boldness,,4,,
37t,95,7,Boldness,,4,,
37t,96,8,Boldness,,5,,
37t,97,9,Boldness,,5,,
37t,97,9,Survival,1,,,
37t,98,10,Boldness,,4,,
37t,98,10,docility,,,42,3
37t,98,10,docility,,,72,0
37t,98,10,docility,,,114,1
37t,98,10,Survival,1,,,
37t,99,11,docility,,,38,0
37t,99,11,docility,,,79,0
37t,99,11,docility,,,95,1
37t,99,11,docility,,,102,0
37u,94,5,Boldness,,1,,
37u,95,6,Boldness,,4,,
37u,96,7,Boldness,,3,,
37u,97,8,Boldness,,2,,
37u,97,8,Survival,T,,,
39w,94,3,Boldness,,4,,
39w,95,4,Boldness,,4,,
39w,96,5,Boldness,,3,,
39w,97,6,Boldness,,3,,
39w,97,6,Survival,1,,,
39w,98,7,Boldness,,3,,
39w,98,7,docility,,,38,2
39w,98,7,docility,,,88,1
39w,98,7,Survival,1,,,
39w,99,8,docility,,,22,0
39w,99,8,docility,,,57,1
39w,99,8,docility,,,78,1
39w,99,8,docility,,,127,0
3m,94,12,Boldness,,3,,
3m,95,13,Boldness,,0,,
3qr,94,9,Boldness,,3,,
3qr,95,10,Boldness,,0,,
3s,94,8,Boldness,,2,,
3s,95,9,Boldness,,4,,
3s,96,10,Boldness,,5,,
3s,97,11,Boldness,,2,,
3s,97,11,Survival,1,,,
3s,98,12,Boldness,,3,,
3s,98,12,docility,,,34,1
3s,98,12,docility,,,116,2
3s,98,12,Survival,0,,,
3x,94,2,Boldness,,4,,
3x,95,3,Boldness,,5,,
3x,96,4,Boldness,,5,,
3x,97,5,Boldness,,3,,
3x,97,5,Survival,T,,,
40t,94,6,Boldness,,3,,
40t,95,7,Boldness,,5,,
40t,96,8,Boldness,,5,,
40t,97,9,Boldness,,3,,
40t,97,9,Survival,1,,,
40t,98,10,Boldness,,4,,
40t,98,10,docility,,,38,5
40t,98,10,docility,,,84,3
40t,98,10,Survival,1,,,
40t,99,11,docility,,,35,3
40u,94,5,Boldness,,2,,
40u,95,6,Boldness,,3,,
40u,96,7,Boldness,,5,,
40u,97,8,Boldness,,3,,
40u,97,8,Survival,1,,,
40u,98,9,Boldness,,3,,
40u,98,9,docility,,,33,1
40u,98,9,Survival,0,,,
42u,94,5,Boldness,,4,,
42u,95,6,Boldness,,5,,
42u,96,7,Boldness,,3,,
42u,97,8,Boldness,,4,,
42u,97,8,Survival,1,,,
42u,98,9,Boldness,,6,,
42u,98,9,docility,,,20,7
42u,98,9,docility,,,38,5
42u,98,9,docility,,,71,4
42u,98,9,docility,,,114,7
42u,98,9,docility,,,129,2
42u,98,9,Survival,1,,,
42u,99,10,docility,,,14,4
42u,99,10,docility,,,36,2
42u,99,10,docility,,,55,3
42u,99,10,docility,,,60,5
48w,94,3,Boldness,,4,,
48w,95,4,Boldness,,5,,
48w,96,5,Boldness,,5,,
48w,97,6,Boldness,,3,,
48w,97,6,Survival,1,,,
48w,98,7,Boldness,,4,,
48w,98,7,docility,,,37,2
48w,98,7,docility,,,84,1
48w,98,7,docility,,,114,1
48w,98,7,Survival,1,,,
48w,99,8,docility,,,36,0
48w,99,8,docility,,,113,0
49u,94,5,Boldness,,3,,
49u,95,6,Boldness,,3,,
49u,96,7,Boldness,,5,,
49u,97,8,Boldness,,5,,
49u,97,8,Survival,1,,,
49u,98,9,Boldness,,4,,
49u,98,9,docility,,,33,7
49u,98,9,docility,,,84,7
49u,98,9,docility,,,114,5
49u,98,9,docility,,,126,5
49u,98,9,Survival,1,,,
49u,99,10,docility,,,21,2
49u,99,10,docility,,,49,6
49u,99,10,docility,,,78,3
49u,99,10,docility,,,113,3
50u,94,5,Boldness,,4,,
50u,95,6,Boldness,,5,,
50u,96,7,Boldness,,4,,
50u,97,8,Boldness,,3,,
50u,97,8,Survival,1,,,
50u,98,9,Boldness,,4,,
50u,98,9,docility,,,33,1
50u,98,9,docility,,,84,1
50u,98,9,docility,,,114,1
50u,98,9,Survival,1,,,
50u,99,10,docility,,,13,0
50u,99,10,docility,,,36,0
50u,99,10,docility,,,57,1
50u,99,10,docility,,,79,0
50w,94,3,Boldness,,4,,
50w,95,4,Boldness,,4,,
50w,96,5,Boldness,,5,,
50w,97,6,Boldness,,3,,
50w,97,6,Survival,T,,,
51t,94,6,Boldness,,3,,
51t,95,7,Boldness,,4,,
51t,96,8,Boldness,,4,,
51t,97,9,Boldness,,4,,
51t,97,9,Survival,1,,,
51t,98,10,Boldness,,4,,
51t,98,10,docility,,,38,3
51t,98,10,docility,,,84,1
51t,98,10,docility,,,114,1
51t,98,10,Survival,1,,,
51t,99,11,docility,,,13,0
51t,99,11,docility,,,39,4
51t,99,11,docility,,,79,0
51t,99,11,docility,,,102,2
53w,94,3,Boldness,,4,,
53w,95,4,Boldness,,4,,
54w,94,3,Boldness,,4,,
54w,95,4,Boldness,,5,,
54w,96,5,Boldness,,5,,
54w,97,6,Boldness,,4,,
54w,97,6,Survival,1,,,
54w,98,7,Boldness,,4,,
54w,98,7,docility,,,33,4
54w,98,7,docility,,,72,1
54w,98,7,docility,,,122,2
54w,98,7,Survival,0,,,
58t,94,6,Boldness,,2,,
58t,95,7,Boldness,,3,,
58t,96,8,Boldness,,3,,
58t,97,9,Boldness,,2,,
58t,97,9,Survival,0,,,
5i,94,17,Boldness,,0,,
5i,95,18,Boldness,,0,,
5q,94,10,Boldness,,3,,
5q,95,11,Boldness,,4,,
5q,96,12,Boldness,,4,,
5q,97,13,Boldness,,4,,
5q,97,13,Survival,1,,,
5q,98,12,Boldness,,6,,
5q,98,14,docility,,,33,1
5q,98,14,docility,,,71,1
5q,98,14,docility,,,84,1
5q,98,14,docility,,,128,0
5q,98,14,Survival,0,,,
5u,94,5,Boldness,,5,,
5u,95,6,Boldness,,7,,
5u,96,7,Boldness,,6,,
5u,97,8,Boldness,,2,,
5u,97,8,Survival,0,,,
5v,94,4,Boldness,,2,,
5v,95,5,Boldness,,0,,
5w,94,3,Boldness,,4,,
5w,95,4,Boldness,,0,,
6j,94,15,Boldness,,4,,
6j,95,15,Boldness,,0,,
6qr,94,9,Boldness,,2,,
6qr,95,10,Boldness,,5,,
6qr,96,11,Boldness,,4,,
6r,94,8,Boldness,,2,,
6r,95,9,Boldness,,4,,
6r,96,10,Boldness,,5,,
6r,97,11,Boldness,,2,,
6r,97,11,Survival,1,,,
6r,98,12,Boldness,,5,,
6r,98,12,docility,,,19,2
6r,98,12,docility,,,43,0
6r,98,12,docility,,,105,0
6r,98,12,docility,,,123,1
6r,98,12,Survival,0,,,
6s,94,7,Boldness,,4,,
6s,95,8,Boldness,,0,,
6u,95,5,Boldness,,0,,
6u,96,6,Boldness,,0,,
6u,97,7,Boldness,,0,,
6w,94,4,Boldness,,3,,
6w,95,5,Boldness,,4,,
6w,96,6,Boldness,,4,,
6w,97,7,Boldness,,0,,
6w,97,7,Survival,1,,,
6w,98,8,Boldness,,2,,
6w,98,8,docility,,,21,0
6w,98,8,docility,,,116,0
6w,98,8,Survival,0,,,
6y,94,1,Boldness,,4,,
6y,95,2,Boldness,,5,,
6y,96,3,Boldness,,7,,
6y,97,4,Boldness,,4,,
6y,97,4,Survival,1,,,
6y,98,5,Boldness,,4,,
6y,98,5,docility,,,19,2
6y,98,5,docility,,,42,1
6y,98,5,docility,,,114,2
6y,98,5,Survival,0,,,
6z,95,1,Boldness,,3,,
6z,96,2,Boldness,,4,,
7i,94,16,Boldness,,2,,
7i,95,17,Boldness,,0,,
7qr,94,9,Boldness,,4,,
7qr,95,10,Boldness,,0,,
7u,94,5,Boldness,,6,,
7u,95,6,Boldness,,5,,
7u,96,7,Boldness,,6,,
7u,97,8,Boldness,,5,,
7u,97,8,Survival,1,,,
7u,98,9,Boldness,,3,,
7u,98,9,docility,,,34,1
7u,98,9,docility,,,116,6
7u,98,9,Survival,0,,,
7z,95,1,Boldness,,5,,
7z,96,2,Boldness,,5,,
7z,97,3,Boldness,,3,,
7z,97,3,Survival,T,,,
8v,94,4,Boldness,,3,,
8v,95,5,Boldness,,5,,
8v,96,6,Boldness,,4,,
8v,97,7,Boldness,,3,,
8v,97,7,Survival,1,,,
8v,98,8,Boldness,,3,,
8v,98,8,docility,,,17,5
8v,98,8,docility,,,34,7
8v,98,8,docility,,,69,2
8v,98,8,Survival,1,,,
8v,99,9,docility,,,14,3
8v,99,9,docility,,,39,0
8v,99,9,docility,,,60,2
8v,99,9,docility,,,102,2
9q,94,9,Boldness,,2,,
9q,95,10,Boldness,,5,,
9t,94,6,Boldness,,5,,
9t,95,7,Boldness,,4,,
9t,96,8,Boldness,,7,,
9t,97,9,Boldness,,5,,
9t,97,9,Survival,1,,,
9t,98,10,Boldness,,5,,
9t,98,10,docility,,,23,2
9t,98,10,docility,,,51,2
9t,98,10,docility,,,80,2
9t,98,10,docility,,,129,2
9t,98,10,Survival,1,,,
9t,99,11,docility,,,31,1
9t,99,11,docility,,,55,1
9t,99,11,docility,,,98,2
9u,94,5,Boldness,,3,,
9u,95,6,Boldness,,4,,
9u,96,7,Boldness,,7,,
9u,97,8,Boldness,,0,,
a14,96,1,Boldness,,7,,
a14,97,2,Boldness,,3,,
a14,97,2,Survival,1,,,
a14,98,3,Boldness,,4,,
a14,98,3,docility,,,33,7
a14,98,3,docility,,,42,7
a14,98,3,docility,,,71,5
a14,98,3,docility,,,125,6
a14,98,3,docility,,,129,2
a14,98,3,Survival,0,,,
a2,96,1,Boldness,,5,,
a2,97,2,Boldness,,5,,
a2,97,2,Survival,0,,,
a20,96,1,Boldness,,4,,
a20,97,2,Boldness,,5,,
a20,97,2,Survival,1,,,
a20,98,3,Boldness,,5,,
a20,98,3,docility,,,33,7
a20,98,3,docility,,,84,3
a20,98,3,docility,,,128,2
a20,98,3,Survival,1,,,
a20,99,4,docility,,,21,2
a20,99,4,docility,,,49,2
a20,99,4,docility,,,98,4
a20,99,4,docility,,,127,1
a22,96,1,Boldness,,1,,
a22,97,2,Boldness,,2,,
a22,97,2,Survival,T,,,
a28,96,1,Boldness,,5,,
a28,97,2,Boldness,,6,,
a28,97,2,Survival,1,,,
a28,98,3,Boldness,,5,,
a28,98,3,docility,,,33,3
a28,98,3,docility,,,53,1
a28,98,3,docility,,,84,3
a28,98,3,docility,,,132,1
a28,98,3,Survival,1,,,
a28,99,4,docility,,,9,2
a28,99,4,docility,,,50,3
a28,99,4,docility,,,127,1
a33,96,1,Boldness,,6,,
a33,97,2,Boldness,,3,,
a33,97,2,Survival,1,,,
a33,98,3,Boldness,,5,,
a33,98,3,docility,,,33,6
a33,98,3,docility,,,53,0
a33,98,3,docility,,,84,1
a33,98,3,docility,,,129,3
a33,98,3,Survival,1,,,
a33,99,4,docility,,,14,3
a33,99,4,docility,,,44,2
a33,99,4,docility,,,83,2
a33,99,4,docility,,,126,2
a35,96,1,Boldness,,5,,
a35,97,2,Boldness,,3,,
a35,97,2,Survival,1,,,
a35,98,3,Boldness,,5,,
a35,98,3,docility,,,20,1
a35,98,3,docility,,,53,1
a35,98,3,docility,,,88,2
a35,98,3,docility,,,132,1
a35,98,3,Survival,1,,,
a35,99,4,docility,,,21,0
a35,99,4,docility,,,44,0
a36,96,1,Boldness,,4,,
a36,97,2,Boldness,,5,,
a36,97,2,Survival,0,,,
a44,96,1,Boldness,,4,,
a44,97,2,Boldness,,3,,
a44,97,2,Survival,1,,,
a44,98,3,Boldness,,6,,
a44,98,3,docility,,,33,1
a44,98,3,docility,,,53,2
a44,98,3,docility,,,72,2
a44,98,3,docility,,,114,2
a44,98,3,docility,,,129,0
a44,98,3,Survival,1,,,
a44,99,4,docility,,,11,1
a44,99,4,docility,,,13,1
a44,99,4,docility,,,31,2
a44,99,4,docility,,,56,2
a44,99,4,docility,,,95,2
a5,96,1,Boldness,,5,,
a5,97,2,Boldness,,2,,
a5,97,2,Survival,T,,,
a50,96,1,Boldness,,5,,
a50,97,2,Boldness,,4,,
a50,97,2,Survival,1,,,
a50,98,3,Boldness,,5,,
a50,98,3,docility,,,33,4
a50,98,3,docility,,,84,3
a50,98,3,docility,,,114,2
a50,98,3,Survival,1,,,
a50,99,4,docility,,,11,1
a50,99,4,docility,,,13,1
a50,99,4,docility,,,50,2
a53,96,1,Boldness,,4,,
a53,97,2,Boldness,,3,,
a53,97,2,Survival,1,,,
a53,98,3,Boldness,,5,,
a53,98,3,docility,,,19,3
a53,98,3,docility,,,38,3
a53,98,3,docility,,,72,2
a53,98,3,docility,,,129,0
a53,98,3,Survival,1,,,
a53,99,4,docility,,,39,3
a53,99,4,docility,,,79,0
a53,99,4,docility,,,102,0
b32,97,1,Boldness,,1,,
b32,97,1,Survival,1,,,
b32,98,2,Boldness,,3,,
b32,98,2,docility,,,17,0
b32,98,2,docility,,,71,0
b32,98,2,docility,,,114,0
b32,98,2,Survival,1,,,
b32,99,3,docility,,,38,0
b32,99,3,docility,,,102,0
c13,97,1,Boldness,,3,,
c13,97,1,Survival,1,,,
c13,98,2,Boldness,,4,,
c13,98,2,docility,,,33,2
c13,98,2,docility,,,71,0
c13,98,2,docility,,,129,0
c13,98,2,Survival,1,,,
c13,99,3,docility,,,21,0
c13,99,3,docility,,,44,1
c13,99,3,docility,,,95,0
c14,98,1,docility,,,72,3
c14,98,1,Survival,1,,,
c14,99,2,docility,,,36,2
c14,99,2,docility,,,57,0
c14,99,2,docility,,,83,2
c4,97,0,Survival,1,,,
c4,98,1,docility,,,17,0
c4,98,1,docility,,,34,4
c4,98,1,Survival,0,,,
c5,97,1,Boldness,,3,,
c5,97,1,Survival,1,,,
c5,98,2,Boldness,,5,,
c5,98,2,docility,,,33,0
c5,98,2,docility,,,71,0
c5,98,2,docility,,,114,0
c5,98,2,docility,,,129,0
c5,98,2,Survival,1,,,
c5,99,3,docility,,,98,0
c5,99,3,docility,,,113,1
