RecordNo,Author,Year,LatinName,CommonName,Class,StudyPop,GroupID_global,GroupID_fitness_component,Origin,Sex,Age,FitnessProxy,FitnessDetails,FitnessMeasured,Behaviour,BehavCoding,BehavDetails,LevelBehav,LevelFit,Level_GroupID,NInd,Nobs,Analysis,df,dfeff,r_direct,r_method,sign,SignReversed,r,Zr,F,U,chi2,t,z,p,r2,CohenD,estimate,L95CI,U95CI,se,sd,OR,HR,a,Source,SuppMat/Data,Checked,Conditions,Comments,
17,Ariyomo,2013,Poecilia reticulata,guppy,Actinopterygii,na,E-5,E-5,l,m,a,repro,number of offspring produced,art,exploration,categorical,"number of lines crossed in an open field, after 60 s habituation. Boldest and shyest individuals selected for analysis",phenotypic,phenotypic,0,60,60,GLM,,,0,T test,pos,1,0.0025,,,,,0.019,,0.99,,,,,,,,,,,"results, last p",0,1,,,
17,Ariyomo,2013,Poecilia reticulata,guppy,Actinopterygii,na,E-6,E-6,l,f,a,repro,number of offspring produced,art,exploration,categorical,"number of lines crossed in an open field, after 60 s habituation. Boldest and shyest individuals selected for analysis",phenotypic,phenotypic,0,60,60,GLM,,,0,T test,pos,1,0.0835,,,,,0.638,,0.53,,,,,,,,,,,"results, last p",0,1,,,
18,Armitage,2003,Marmota flaviventris,yellow-bellied marmot,Mammalia,USA,E-22,E-22,w,m,a,repro,number of young produced over lifetime,nat,aggression,categorical,mirrror-image simulation test,phenotypic,phenotypic,0,19,19,t-test,,,0,T test,neg,1,-0.1905,,,,,0.8,,,,,,,,,,,,,"results, p229",0,1,,,
18,Armitage,2003,Marmota flaviventris,yellow-bellied marmot,Mammalia,USA,E-22,E-22,w,m,a,repro,number of young produced in a season,nat,aggression,categorical,mirrror-image simulation test,phenotypic,phenotypic,0,49,49,t-test,,,0,T test,neg,1,-0.2327,,,,,1.64,,,,,,,,,,,,,"results, p225",0,1,,,
21,Ballew,2017,Micropterus salmoides,largemouth bass,Actinopterygii,USA,E-9,E-9,l,u,j,survival,probability of surviving,nat,exploration,continuous,"PCA score of latency to enter novel env, time moving in familiar env, bites at mirror, length of time to approach food (individuals with higher PC1 score were less hesitant to enter a novel environment…)",phenotypic,phenotypic,0,120,120,logistic regression,116,,0,d to r,neg,1,-0.1123,,,,,,,,,-0.226044847,-0.41,,,,,,,,table 3,0,1,,"used Eq 10 to convert log OR to d, then used ES calculator to get r",
21,Ballew,2017,Micropterus salmoides,largemouth bass,Actinopterygii,USA,E-10,E-10,l,m,a,repro,lifetime number of eggs fertilized,nat,exploration,continuous,"PCA score of latency to enter novel env, time moving in familiar env, bites at mirror, length of time to approach food (individuals with higher PC1 score were less hesitant to enter a novel environment…)",among,phenotypic,0,57,57,linear model,,,0,d to r,pos,1,0.1483,,,,,,,,,0.3,,,,,,,,,table 3,1,1,,cannot calculate within (no repeated repro measures),
21,Ballew,2017,Micropterus salmoides,largemouth bass,Actinopterygii,USA,E-11,E-11,l,f,a,repro,lifetime number of eggs laid,nat,exploration,continuous,"PCA score of latency to enter novel env, time moving in familiar env, bites at mirror, length of time to approach food (individuals with higher PC1 score were less hesitant to enter a novel environment…)",among,phenotypic,0,44,44,linera model,,,0,d to r,neg,1,-0.035,,,,,,,,,-0.07,,,,,,,,,table 3,1,1,,cannot calculate within (no repeated repro measures),
25,Belda,2007,Sylvia atricapilla,blackcap,Aves,Spain,E-12,E-12,f,b,b,survival,survival probability,nat,aggression,categorical,tendency to be resident or transiet over winter,phenotypic,phenotypic,0,523,526,prob of recapture,,,0,mean SD,pos,1,0.1654,,,,,,,,,,,-0.2477,-0.0808,,,,,,in text,0,1,,transience relative to residency--> switch sign so that dominance (residence) is scored higher,
26,Belgrad,2016,Panopeus herbstii,mud crab,Malacostraca,USA,E-23,E-23,w,m,a,survival,number of days surviving,art,boldness,continuous,proportion of time spent hiding when exposed to predator,phenotypic,phenotypic,0,167,167,pearson correlation,,,1,direct,pos,-1,0.837,,,,,,,,,,,,,,,,,,raw data,1,1,,use raw data to directly calculate r. ,
26,Belgrad,2016,Panopeus herbstii,mud crab,Malacostraca,USA,E-161,E-161,w,f,a,survival,number of days surviving,art,boldness,continuous,proportion of time spent hiding when exposed to predator,phenotypic,phenotypic,0,133,133,pearson correlation,,,1,direct,pos,-1,0.1312,,,,,,,,,,,,,,,,,,raw data,1,1,,use raw data to directly calculate r. ,
27,Belgrad,2018,Panopeus herbstii,mud crab,Malacostraca,USA,E-24,E-24,w,f,a,survival,yes/no crab was observed on plot two weeks following release,art,boldness,continuous,proportion of time spent hiding in a mesocosm (no predators),phenotypic,phenotypic,0,276,276,biserial correlation,,,1,direct,pos,1,0.056,,,,,,,,,,,,,,,,,,raw data,1,1,,data obtained from author; high values=more bold,
27,Belgrad,2018,Panopeus herbstii,mud crab,Malacostraca,USA,E-160,E-160,w,m,a,survival,yes/no crab was observed on plot two weeks following release,art,boldness,continuous,proportion of time spent hiding in a mesocosm (no predators),phenotypic,phenotypic,0,204,204,biserial correlation,,,1,direct,pos,1,0.138,,,,,,,,,,,,,,,,,,raw data,1,1,,data obtained from author; high values=more bold,
28,Bergeron,2013,Tamias striatus,eastern chipmunk,Mammalia,Canada,E-26,E-26,f,b,a,survival,annual probability of surviving,nat,exploration,continuous,number of lines crossed during a 90s open field test,among,phenotypic,0,98,98,logistic regression,95,,0,T test,neg,1,-0.0965,,,,,0.95,,,,,,,,,,,,,"results, p2",0,1,,,
29,Berning,2012,Agelenopsis pennsylvanica,funnel-web spider,Arachnida,USA,E-25,E-25,w,f,a,repro,mass of egg case 1 week after partuition,art,aggression,categorical,whether or not potential mate was cannibalised prior to copulation,phenotypic,phenotypic,0,88,88,ANCOVA,83,,0,Eq 2,pos,1,0.165,,2.324,,,,,,,,,,,,,,,,table 2,0,1,,"significant interaction, and no data published",
29,Berning,2012,Agelenopsis pennsylvanica,funnel-web spider,Arachnida,USA,E-25,E-25,w,f,a,repro,number of offspring emerging from egg case,art,aggression,categorical,whether or not potential mate was cannibalised prior to copulation,phenotypic,phenotypic,0,59,59,ANCOVA,55,,0,Eq 2,pos,1,0.0828,,0.38,,,,,,,,,,,,,,,,table 3,0,1,,"significant interaction, and no data published",
30,Betini,2012,Tachycineta bicolor,tree swallow,Aves,Canada,E-28,E-28,f,m,a,repro,number of young fledged,nat,aggression,continuous,PCA of responses to human at nest (scores multiplied by -1 so that positive scores represent more aggressive individuals),among,phenotypic,0,83,81,LMM,75,,0,T test,pos,1,0.2607,,,,,2.4,,,,,,,,,,,,,in text,0,1,,repeatability measured for m and f ,
30,Betini,2012,Tachycineta bicolor,tree swallow,Aves,Canada,E-29,E-29,f,f,a,repro,numberof young fledged,nat,aggression,continuous,PCA of responses to human at nest (scores multiplied by -1 so that positive scores represent more aggressive individuals),among,phenotypic,0,68,81,LMM,75,,0,T test,neg,1,-0.1643,,,,,1.48,,,,,,,,,,,,,in text,0,1,,repeatability measured for m and f ,
31,Bijleveld,2014,Calidirs canutus,red knot,Aves,Netherlands,E-30,E-30,w,b,a,survival,apparent survival after release into wild,nat,foraging,continuous,fraction of time spent in search of food in a novel environment,phenotypic,phenotypic,0,21,21,ANOVA,19,,0,Eq 2,neg,1,-0.5242,,7.2,,,,,,,,,,,,,,,,in text,0,1,,first exploration score taken,
33,Biro,2015,Cherax destructor,australian common yabby,Malacostraca,Australia,E-31,E-31,l,b,a,survival,trapability in individual tanks,art,boldness,continuous,tendency to use open areas away from burrow during day,among,phenotypic,0,86,86,logistic regression,,,1,direct,neg,-1,-0.11,,,,,,,,,,,,,,,,,,table 1,0,1,day time use; individual testing,"switched signs from text, because present prob of harvest, which is prob of not surviving",
33,Biro,2015,Cherax destructor,australian common yabby,Malacostraca,Australia,E-31,E-31,l,b,a,survival,trapability in individual tanks,art,boldness,continuous,tendency to use open areas away from burrow at night,among,phenotypic,0,86,86,logistic regression,,,1,direct,neg,-1,-0.32,,,,,,,,,,,,,,,,,,table 1,0,1,night time use; individual testing,"switched signs from text, because present prob of harvest, which is prob of not surviving",
33,Biro,2015,Cherax destructor,australian common yabby,Malacostraca,Australia,E-31,E-31,l,b,a,survival,trapability in groups of 15,art,boldness,continuous,tendency to use open areas away from burrow during day,among,phenotypic,0,90,45,logistic regression,,,1,direct,neg,-1,-0.19,,,,,,,,,,,,,,,,,,table 1,0,1,day time use; group testing,"switched signs from text, because present prob of harvest, which is prob of not surviving",
33,Biro,2015,Cherax destructor,australian common yabby,Malacostraca,Australia,E-31,E-31,l,b,a,survival,trapability in groups of 15,art,boldness,continuous,tendency to use open areas away from burrow at night,among,phenotypic,0,90,45,logistic regression,,,1,direct,neg,-1,-0.25,,,,,,,,,,,,,,,,,,table 1,0,1,night time use; group testing,"switched signs from text, because present prob of harvest, which is prob of not surviving",
34,Blake,2018,Rutilus rutilus,roach,Actinopterygii,Sweden,E-32,E-32,w,b,j,survival,consumption by predator when paired with fish of opposite behavioural type,art,exploration,categorical,"time to emerge from a refuge in a novel environment (short latency= bold, long latency= shy)",among,phenotypic,0,68,34,2x2 contingency,,,0,2x2 contingency,pos,1,0.1176,,,,,,,,,,,,,,,,,,in text,0,1,,combined raw data for both predator types (did not consider interaction),
35,Blake,2014,Gambusia geiseri,largespring mosquitofish,Actinopterygii,USA,E-33,E-33,w,f,a,survival,survival during individual predator trial,art,boldness,continuous,time spent at the bottom of the tank during a predator trial,phenotypic,phenotypic,0,60,60,chi square,1,,0,chi-square,neg,-1,-0.461,,,,12.74,,,<0.001,,,,,,,,,,,in text,0,1,,,
36,Blanckenhorn,1991,Gerris remigis,water strider,Insecta,USA,E-34,E-34,w,f,a,repro,number of eggs laid during experimental period,art,foraging,continuous,percentage of time spent foraging in a richer patch,phenotypic,phenotypic,0,21,21,pearson correlation,,,1,direct,pos,1,0.76,,,,,,,,,,,,,,,,,,in text,0,1,,,
36,Blanckenhorn,1991,Gerris remigis,water strider,Insecta,USA,E-34,E-34,w,f,a,repro,number of eggs laid over lifetime,art,foraging,continuous,percentage of time spent foraging in a richer patch,phenotypic,phenotypic,0,21,21,pearson correlation,,,1,direct,pos,1,0.57,,,,,,,,,,,,,,,,,,in text,0,1,,,
36,Blanckenhorn,1991,Gerris remigis,water strider,Insecta,USA,E-34,E-34,w,f,a,survival,longevity,art,foraging,continuous,percentage of time spent foraging in a richer patch,phenotypic,phenotypic,0,21,21,pearson correlation,,,1,direct,pos,1,0.05,,,,,,,,,,,,,,,,,,in text,0,1,,,
37,Bonnot,2018,Capreolus capreolus,roe deer,Mammalia,France,E-35,E-35,f,f,a,repro,success of weaning young,nat,stress,categorical,mean presence/absence of several behaviours in response to human capture/manipulation,phenotypic,phenotypic,0,64,64,2x2 contingency,,,0,2x2 contingency,pos,1,0.1554,,,,,,,,,,,,,,,,,,in text (methods),error,1,,treatment=shy females (shy animals were less stressed),
38,Boon,2007,Tamiasciurus hudsonicus,north american red squirrel,Mammalia,Canada,E-36,E-36,w,f,a,repro,juvenile survival in the nest,nat,aggression,continuous,mirrror-image simulation test,among,phenotypic,0,79,517,GLMM,,,0,d to r,neg,1,-0.01,,,,,,,,,-0.019990886,-0.2,,,0.44,10.00455896,,,,table 3,0,1,2003,,
38,Boon,2007,Tamiasciurus hudsonicus,north american red squirrel,Mammalia,Canada,E-36,E-36,w,f,a,repro,juvenile survival in the nest,nat,aggression,continuous,mirrror-image simulation test,among,phenotypic,0,79,517,GLMM,,,0,d to r,pos,1,0.01,,,,,,,,,0.019990886,0.2,,,0.44,10.00455896,,,,table 3,0,1,2004,,
38,Boon,2007,Tamiasciurus hudsonicus,north american red squirrel,Mammalia,Canada,E-36,E-36,w,f,a,repro,juvenile survival in the nest,nat,aggression,continuous,mirrror-image simulation test,among,phenotypic,0,79,517,GLMM,,,0,d to r,neg,1,-0.0651,,,,,,,,,-0.130521141,-0.92,,,0.31,7.048666541,,,,table 3,0,1,2005,,
38,Boon,2007,Tamiasciurus hudsonicus,north american red squirrel,Mammalia,Canada,E-36,E-36,w,f,a,repro,juvenile survival in the nest,nat,aggression,continuous,mirrror-image simulation test,among,phenotypic,0,79,517,GLMM,,,0,d to r,neg,1,-0.0212,,,,,,,,,-0.0424634,-0.28,,,0.29,6.593913861,,,,table 3,0,1,2006,,
38,Boon,2007,Tamiasciurus hudsonicus,north american red squirrel,Mammalia,Canada,E-36,E-36,w,f,a,repro,juvenile overwinter survival,nat,aggression,continuous,mirrror-image simulation test,among,phenotypic,0,49,124,GLMM,,,0,d to r,pos,1,0.0972,,,,,,,,,0.195275563,3.24,,,1.49,16.5919378,,,,table 4,0,1,2003,,
38,Boon,2007,Tamiasciurus hudsonicus,north american red squirrel,Mammalia,Canada,E-36,E-36,w,f,a,repro,juvenile overwinter survival,nat,aggression,continuous,mirrror-image simulation test,among,phenotypic,0,49,124,GLMM,,,0,d to r,neg,1,-0.0072,,,,,,,,,-0.01439145,-0.25,,,1.56,17.37142481,,,,table 4,0,1,2004,,
38,Boon,2007,Tamiasciurus hudsonicus,north american red squirrel,Mammalia,Canada,E-36,E-36,w,f,a,repro,juvenile overwinter survival,nat,aggression,continuous,mirrror-image simulation test,among,phenotypic,0,49,124,GLMM,,,0,d to r,pos,1,0.0227,,,,,,,,,0.045492132,0.77,,,1.52,16.92600366,,,,table 4,0,1,2005,,
39,Boon,2008,Tamiasciurus hudsonicus,north american red squirrel,Mammalia,Canada,E-37,E-37,w,f,a,survival,survival probability,nat,exploration,continuous,"PCA of activity in a novel environment (walk, jump and sniff load positively, sitting and laying still load negatively)",among,phenotypic,0,71,71,GLM (partial r^2),1,,0,r squared,neg,1,-0.2449,,,,5.52,,,,0.06,,,,,,,,,,in text,0,1,,,
41,Boulton,2018,Xiphophorus birchmanni,sheepshead swordtail,Actinopterygii,Mexico,E-41,E-41,l,m,b,survival,longevity,art,aggression,continuous,within group score acounting for number of aggressions toward others and number of aggressions received,among,phenotypic,1,222,1385,harzard regression,,,1,direct,pos,1,0.333,,,,,,,,,,,,,,,,,,supp table 2,1,1,,,
41,Boulton,2018,Xiphophorus birchmanni,sheepshead swordtail,Actinopterygii,Mexico,E-41,E-41,l,m,b,survival,longevity,art,aggression,continuous,within group score acounting for number of aggressions toward others and number of aggressions received,phenotypic,phenotypic,1,213,1385,binomial glmm,,,0,marginal R2,pos,1,0.005,,,,,,,,0.0000252,0.014323525,0.02598,,,,,,,,raw data,1,1,,,
41,Boulton,2018,Xiphophorus birchmanni,sheepshead swordtail,Actinopterygii,Mexico,E-41,E-41,l,m,b,survival,longevity,art,exploration,continuous,activity in an open field,among,phenotypic,2,222,na,harzard regression,,,1,direct,neg,1,-0.0003,,,,,,,,,,,,,,,,,,supp table 2,1,1,,repeatability estimated for males and females combined,
41,Boulton,2018,Xiphophorus birchmanni,sheepshead swordtail,Actinopterygii,Mexico,E-41,E-41,l,m,b,survival,longevity,art,exploration,continuous,activity in an open field,phenotypic,phenotypic,2,213,5138,binomial glmm,,,1,marginal R2,neg,1,-0.0006,,,,,,,,0.0000004,,,,,,,,,,raw data,1,1,,repeatability estimated for males and females combined,
41,Boulton,2018,Xiphophorus birchmanni,sheepshead swordtail,Actinopterygii,Mexico,E-42,E-42,l,f,b,survival,longevity,art,exploration,continuous,activity in an open field,among,phenotypic,3,151,na,harzard regression,,,1,direct,neg,1,-0.027,,,,,,,,,,,,,,,,,,supp table 2,1,1,,repeatability estimated for males and females combined,
41,Boulton,2018,Xiphophorus birchmanni,sheepshead swordtail,Actinopterygii,Mexico,E-42,E-42,l,f,b,survival,longevity,art,exploration,continuous,activity in an open field,phenotypic,phenotypic,3,369,1235,binomial glmm,,,1,marginal R2,pos,1,0.0013,,,,,,,,0.0000018,,,,,,,,,,raw data,1,1,,repeatability estimated for males and females combined,
42,Bouwhuis,2014,Parus major,great tit,Aves,UK,E-43,E-43,w,f,a,repro,number of fledglings,nat,exploration,continuous,PCA of activity in a novel room (EB loads positively),phenotypic,phenotypic,0,345,345,selection analyses,,,0,d to r,neg,1,-0.016,,,,,,,,,-0.016,,,,0.065,0.003499482,,,,table 3,0,1,,,
42,Bouwhuis,2014,Parus major,great tit,Aves,UK,E-43,E-43,w,f,a,survival,detection of individual in any subsequent season,nat,exploration,continuous,PCA of activity in a novel room (EB loads positively),phenotypic,phenotypic,0,345,345,selection analyses,,,0,d to r,neg,1,-0.0245,,,,,,,,,-0.049,,,,0.05,0.00269191,,,,table 3,0,1,,,
42,Bouwhuis,2014,Parus major,great tit,Aves,UK,E-44,E-44,w,m,a,repro,number of fledglings,nat,exploration,continuous,PCA of activity in a novel room (EB loads positively),phenotypic,phenotypic,0,355,355,selection analyses,,,0,d to r,neg,1,-0.01,,,,,,,,,-0.02,,,,0.07,0.003715214,,,,table 3,0,1,,,
42,Bouwhuis,2014,Parus major,great tit,Aves,UK,E-44,E-44,w,m,a,survival,detection of individual in any subsequent season,nat,exploration,continuous,PCA of activity in a novel room (EB loads positively),phenotypic,phenotypic,0,355,355,selection analyses,,,0,d to r,pos,1,0.0115,,,,,,,,,0.023,,,,0.051,0.002706799,,,,table 3,0,1,,,
43,Bremner-Harrision,2004,Vulpes velox,swift-fox,Mammalia,USA,E-45,E-45,l,b,j,survival,survival to 6 months after release,nat,exploration,continuous,number of interactions with a novel object,phenotypic,phenotypic,0,16,16,t-test,14,,0,Eq 1,neg,1,-0.6181,,,,,2.942,,<0.01,,,,,,,,,,,in text,0,1,,,
43,Bremner-Harrision,2004,Vulpes velox,swift-fox,Mammalia,USA,E-45,E-45,l,b,j,survival,survival to 6 months after release,nat,exploration,continuous,latency to emerge from shelter when presented with novel object (estimates in text are such that positive values indicate higher survival for more explorative individuals),phenotypic,phenotypic,0,16,16,t-test,14,,0,Eq 1,neg,1,-0.5108,,,,,2.223,,<0.05,,,,,,,,,,,in text,0,1,,,
43,Bremner-Harrision,2004,Vulpes velox,swift-fox,Mammalia,USA,E-45,E-45,l,b,j,survival,survival to 6 months after release,nat,exploration,continuous,distance to novel object (values in text are such that positive values indicate higher survival by more explorative individuals),phenotypic,phenotypic,0,16,16,t-test,14,,0,Eq 1,neg,1,-0.5222,,,,,2.291,,<0.04,,,,,,,,,,,in text,0,1,,,
47,Brommer,2014,Strix aluco,tawny owl,Aves,Finland,E-48,E-48,f,f,a,repro,brood recruitment (1/0),nat,parental care,continuous,tendency to stay at nest when disturbed by human intruder (inverse to reflect antipredator),phenotypic,phenotypic,1,236,548,MCMC,,,1,direct,neg,1,-0.1,,,,,,,,,,,,,,,,,,table 2a,0,1,,,
47,Brommer,2014,Strix aluco,tawny owl,Aves,Finland,E-48,E-48,f,f,a,repro,brood recruitment (1/0),nat,parental care,continuous,tendency to stay at nest when disturbed by human intruder (inverse to reflect antipredator),among,among,1,236,548,MCMC,,,1,direct,pos,1,0.39,,,,,,,,,,,,,,,,,,table 2b,0,1,,,
